mngentity,"""Mission Statement"" ",Stated mission statement?,Primary Objective,Other Objective 1,Other Objective 2,Sub Org of,Source,Flag,Notes
"LOC_CITY_Santa Paula, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://spcity.org/,,
"LOC_CITY_Santee, CA",,,,,,,,Yes,repeat
"LOC_CITY_Santee, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsanteeca.gov/home,,
"LOC_CITY_Saratoga, City of","Provide essential municipal services which protect health, safety and welfare, and satisfy the community's desires to maintain its quality of life and property values while practicing fiscal responsibility.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.saratoga.ca.us/274/Mission-Values-Statement,,
"LOC_CITY_Sausalito, City of",The City of Sausalito serves those who live and work in the City by fostering new opportunities for improving the quality of life in its unique waterfront community.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.sausalito.gov/city-government/city-council/strategic-plan,,
"LOC_CITY_Scotts Valley, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.scottsvalley.org/290/Welcome-to-the-City-of-Scotts-Valley,,
"LOC_CITY_Seal Beach, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.sealbeachca.gov/,,
"LOC_CITY_Seaside, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.seaside.ca.us/,,
"LOC_CITY_Sebastopol, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://ci.sebastopol.ca.us/,,
"LOC_CITY_Selma, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofselma.com/,,
"LOC_CITY_Shafter, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.shafter.com/,,
"LOC_CITY_Shasta Lake, City of","The City of Shasta Lake is the gateway to the Shasta-Trinity Recreation Area, and it is our mission to work together for community prosperity by promoting community cohesiveness, job development, tourism, commercial and industrial strength, civic cleanliness, security for people and their property, and strong family values.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofshastalake.org/Search?searchPhrase=mission+statement,,
"LOC_CITY_Sierra Madre, City of","The City of Sierra Madre provides quality, cost-effective public services that preserve the small town character and enhance the health, safety and welfare of the community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsierramadre.com/cityhall/city_manager_s_office/about_us,,
"LOC_CITY_Signal Hill, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsignalhill.org/,,
"LOC_CITY_Solana Beach, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.solana-beach.ca.us/,,
"LOC_CITY_Soledad, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityofsoledad.com/,,
"LOC_CITY_Solvang, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsolvang.com/,,
"LOC_CITY_Sonoma, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.sonomacity.org/,,
"LOC_CITY_Sonora, City of","We commit to partner with the Community to provide quality services
that:
? Create a safe and healthy community
? Provide stewardship for our financial resources
? Stimulate economic prosperity for our community
? Promote out historical and cultural heritage
? Plan for the future of our community and enhancement of our
quality of life",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.sonoraca.com/mission-statement/,,
"LOC_CITY_South El Monte, City of","The City of South El Monte’s mission is to protect and improve the quality of life for our community by addressing concerns, increasing opportunities, enhancing services, safety, and strengthening our infrastructure while maintaining a viable economic base.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsouthelmonte.org/268/Mission-Statement,,
"LOC_CITY_South Gate, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsouthgate.org/,,
LOC_CITY_ ,,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofslt.us/,,
"LOC_CITY_South Pasadena, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.southpasadenaca.gov/home,,
"LOC_CITY_South San Francisco, City of","The City of South San Francisco's mission is to provide a safe, attractive and well-maintained City through excellent customer service and superior programs and to have a work ethic that will enhance the Community's quality of life.

To that end, we will strive to nurture a partnership with the Community by recruiting a diverse and highly skilled workforce, be an active partner in quality education and attract and retain a prosperous business community, all of which will foster community pride and understanding.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ssf.net/our-city/about-south-san-francisco/mission-statement,,
"LOC_CITY_Stanton, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://enjoyorangecounty.com/stanton/,,
"LOC_CITY_Stockton, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.stocktongov.com/government/council/goals.html,,
"LOC_CITY_Suisun City, City of","Suisun City’s mission is to provide a safe, healthy, inclusive community resulting in an exceptional quality of life where our residents and businesses prosper, and visitors feel welcome.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.suisun.com/suisun-city-strategic-plan/,,
"LOC_CITY_Sunnyvale, City of",We build community trust by delivering exceptional services.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://sunnyvale.ca.gov/government/about/aboutsunnyvale/default.htm,,
"LOC_CITY_Susanville, City of",Working together to engage our unique and diverse population to build a community of the highest quality for present and future generations.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofsusanville.net/rooptown/,,
"LOC_CITY_Sutter Creek, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityofsuttercreek.org/,,
"LOC_CITY_Tehama, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityoftehama.us/home,,
"LOC_CITY_Temecula, CA",,,,,,,,Yes,repeat
"LOC_CITY_Temecula, City of","The mission of the City of Temecula is to maintain a safe, secure, clean, healthy, and orderly community; to balance the utilization of open space, parks, trail facilities, quality jobs, public transportation, diverse housing, and adequate infrastructure; and to enhance and revitalize historic areas. 

The City will encourage programs for all age groups, utilize its human resources, and preserve its natural resources while stimulating technology, promoting commerce, and utilizing sound fiscal policy. 

It is the City Council’s resolve that this mission will instill a sense of pride and accomplishment in its citizens and that the City will be known as a progressive, innovative, balanced, and environmentally sensitive community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://temeculaca.gov/438/City-Manager,,
"LOC_CITY_Temple City, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.temple-city.ca.us/,,
"LOC_CITY_Thousand Oaks, City of",Extraordinary service to the citizens we serve is our purpose.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.toaks.org/departments/city-council/city-council-goals-priorities,,
"LOC_CITY_Tiburon, Town of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.townoftiburon.org/,,
"LOC_CITY_Torrance, City of","The mission of the City of Torrance is to encourage and respond to community participation as we provide for an attractive, clean, safe, secure and enriching environment that assures a high quality of life.
We evaluate and act on the needs of the community within a complex, changing environment. We provide quality service with integrity, professionalism and accountability in an efficient, cost-effective manner.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.torranceca.gov/government/city-manager/residents/about-torrance,,
"LOC_CITY_Tracy, City of",Our purpose is to preserve and improve the quality of life for Tracy so that we become the most prosperous community in California.,Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.tracy.ca.us/?navid=788,,
"LOC_CITY_Trinidad, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://trinidad.ca.gov/,,
"LOC_CITY_Tulare, City of","To promote a quality of life making Tulare the most desirable community in which to live, learn, play, work, worship and prosper ",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.tulare.ca.gov/government/mission-statement,,
"LOC_CITY_Tulelake, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://cityoftulelake.com/,,
"LOC_CITY_Turlock, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofturlock.org/index.asp,,
"LOC_CITY_Tustin, City of","Tustin’s mission is to provide effective, high-quality services that foster safety, quality of life, and economic vitality throughout our community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.tustinca.org/184/City-Manager,,
"LOC_CITY_Ukiah, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.cityofukiah.com/,,
"LOC_CITY_Union City, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.unioncity.org/,,
"LOC_CITY_Upland, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.uplandca.gov/home,,
"LOC_CITY_Vacaville, CA",,,,,,,,Yes,repeat
"LOC_CITY_Vacaville, City of","Our mission is to understand and balance our citizens' needs, desires, and resources to achieve the highest possible quality of life for the overall community through the services we provide.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.ci.vacaville.ca.us/about-us/city-mission-vision-and-core-values,,
"LOC_CITY_Vallejo, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.visitvallejo.com/,,
"LOC_CITY_Ventura, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofventura.ca.gov/,,
"LOC_CITY_Victorville, City of",,No,Cultural,Recreation/parks/Trails/greenways,,,https://www.victorvilleca.gov/home,,
"LOC_CITY_Visalia, City of","The City strives to assure that citizens are provided with:
- A clean, safe, well-managed, financially sound, aesthetically pleasing, and environmentally pleasant city in which to live;
- A forum for meaningful participation in political decisions affecting their well-being;
- Occupational, recreational and cultural opportunities for self-fulfillment, and;
- A positive climate for business development.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.visalia.city/government/mission_statement_and_code_of_ethics.asp,,
"LOC_CITY_Vista, City of","The City of Vista is dedicated to providing exceptional services, to improving Vista's quality of life, and to enhancing the uniqueness of the Vista community.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.cityofvista.com/residents/about-vista,,
"LOC_CITY_Walnut Creek, City of","The City of Walnut Creek, working in partnership with the community, is committed to enhancing our quality of life by promoting:

A positive environment where people can live, work and play;
A vibrant local economy to enhance and sustain long-term fiscal stability; and
A progressive workplace where dedicated employees can make a difference.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.walnut-creek.org/about-us,,
